iter	Logloss
0	0.6825948047
1	0.6722562218
2	0.6635430242
3	0.6566104749
4	0.6478725001
5	0.6402717729
6	0.6338231995
7	0.628733804
8	0.6229099564
9	0.6185170335
10	0.6139666423
11	0.6093266276
12	0.605904799
13	0.6028077187
14	0.5989006549
15	0.5957439799
16	0.5930102644
17	0.5900153224
18	0.5877166393
19	0.5856809472
20	0.5837442867
21	0.5814129272
22	0.5789113303
23	0.5770967806
24	0.5754243207
25	0.5742278558
26	0.5727328082
27	0.571476397
28	0.5698449244
29	0.5683559527
30	0.5671988242
31	0.5657902505
32	0.5647280264
33	0.5638667599
34	0.5631306085
35	0.562047591
36	0.56144186
37	0.560663902
38	0.560104875
39	0.5594823725
40	0.5588424723
41	0.5580943995
42	0.5572944485
43	0.556622399
44	0.5559879531
45	0.5553146719
46	0.5546888842
47	0.5542390858
48	0.5538919686
49	0.553389927
50	0.5529234737
51	0.5526167394
52	0.5522464863
53	0.5518645459
54	0.5515898913
55	0.5511956701
56	0.5507327868
57	0.5502274152
58	0.5499216478
59	0.5495969201
60	0.5492713663
61	0.5490369246
62	0.5487797506
63	0.5485547259
64	0.5482428994
65	0.547891347
66	0.5476349592
67	0.5474382156
68	0.5472416128
69	0.5469633717
70	0.5467758216
71	0.5466222621
72	0.5463922823
73	0.5462354229
74	0.5460239243
75	0.5458774705
76	0.5457574593
77	0.5455167416
78	0.5452673513
79	0.5452006645
80	0.545077156
81	0.5449568081
82	0.5448114526
83	0.5446700957
84	0.5445612871
85	0.5443690988
86	0.5442588335
87	0.5441315365
88	0.5439435034
89	0.5438386499
90	0.5436889937
91	0.5436177889
92	0.5434629054
93	0.5433884865
94	0.5432975305
95	0.5431355176
96	0.5430800048
97	0.5429095697
98	0.5428404145
99	0.5427314698
100	0.5425620377
101	0.5424352473
102	0.5423933831
103	0.5422458524
104	0.5421555843
105	0.5420415819
106	0.5419761691
107	0.5418578064
108	0.5417615702
109	0.5416695655
110	0.5415772343
111	0.5414826507
112	0.5413549891
113	0.5412701803
114	0.5411836538
115	0.5411064458
116	0.5409900115
117	0.5408482728
118	0.5407992847
119	0.5407399774
120	0.540657255
121	0.540568784
122	0.5404825923
123	0.5404015185
124	0.5403157014
125	0.5402209459
126	0.5401723318
127	0.5400975087
128	0.5399529407
129	0.5398374791
130	0.5397995709
131	0.5397156976
132	0.5396216702
133	0.5395340605
134	0.539402366
135	0.5393384154
136	0.5392659047
137	0.5391890924
138	0.5391458522
139	0.5391258669
140	0.5390631141
141	0.5390067102
142	0.5389411294
143	0.5388706045
144	0.5387812208
145	0.5387249689
146	0.538697609
147	0.5386246678
148	0.5385569129
149	0.5384710613
150	0.5383523033
151	0.5382512711
152	0.5382165598
153	0.5381843945
154	0.5381457852
155	0.5380831867
156	0.5380287694
157	0.5379591818
158	0.5378972832
159	0.5378080193
160	0.5377480267
161	0.5376971554
162	0.5376712677
163	0.5376011107
164	0.5375392736
165	0.5374690844
166	0.5373671965
167	0.5372891807
168	0.5372261704
169	0.5371725819
170	0.5371212568
171	0.5370355914
172	0.5370002543
173	0.5369592101
174	0.536920267
175	0.5368753416
176	0.5368463449
177	0.5367890982
178	0.5367408482
179	0.5366615919
180	0.5366130457
181	0.5365484122
182	0.5364877565
183	0.5364401305
184	0.5363794136
185	0.5363494423
186	0.5362826134
187	0.5362450404
188	0.5361699257
189	0.5361208466
190	0.5360587073
191	0.5360305488
192	0.5359572136
193	0.5358705252
194	0.5357663072
195	0.5357495734
196	0.5356945341
197	0.5356244153
198	0.5355769858
199	0.5355374202
200	0.5354985676
201	0.5354883645
202	0.5354703249
203	0.535439612
204	0.5353796251
205	0.5353380881
206	0.5353041855
207	0.5352650173
208	0.5352348295
209	0.5351829575
210	0.53512046
211	0.5350609838
212	0.5350323661
213	0.5349792032
214	0.5349579306
215	0.5349152421
216	0.5348746904
217	0.534855265
218	0.5348370887
219	0.5347678784
220	0.5347185488
221	0.5346418064
222	0.5345926009
223	0.534542105
224	0.5345404732
225	0.5345111258
226	0.5344432347
227	0.5343726481
228	0.5343345294
229	0.5342834208
230	0.5342162643
231	0.5341813401
232	0.5341399649
233	0.5340851742
234	0.5340442689
235	0.5339947284
236	0.5339612149
237	0.5339193297
238	0.5338717722
239	0.5338485374
240	0.5338056291
241	0.5337634858
242	0.5337188766
243	0.5336580491
244	0.5335936405
245	0.53351267
246	0.5334602396
247	0.5333816622
248	0.5333004941
249	0.5332126004
250	0.53315084
251	0.5330679096
252	0.5329967478
253	0.5329632587
254	0.5329133574
255	0.5328423272
256	0.5328065106
257	0.5326975922
258	0.5326693078
259	0.5326134526
260	0.5325963917
261	0.5325688126
262	0.5325082664
263	0.5324576839
264	0.5323875887
265	0.5323147358
266	0.5322788325
267	0.5322477391
268	0.532163766
269	0.5321434571
270	0.5320506003
271	0.5320216761
272	0.5319770353
273	0.5319518356
274	0.5319044471
275	0.5318599201
276	0.531830745
277	0.5317675079
278	0.5317025539
279	0.5316602334
280	0.5316093386
281	0.5315768093
282	0.5315029984
283	0.5314411295
284	0.5314175421
285	0.5313934223
286	0.5313406475
287	0.5312648387
288	0.5312079084
289	0.5311747645
290	0.5311390718
291	0.53110436
292	0.5310565215
293	0.5310142118
294	0.5309779873
295	0.5309515009
296	0.5309081484
297	0.5308454901
298	0.5307902055
299	0.5307389337
300	0.5307179322
301	0.5306592303
302	0.5305703843
303	0.5305345203
304	0.5305062366
305	0.5304633864
306	0.530385608
307	0.5303567946
308	0.5302889838
309	0.5301934459
310	0.5301450916
311	0.5300749098
312	0.529976474
313	0.529933597
314	0.5298597651
315	0.5298148534
316	0.5297872178
317	0.5297380936
318	0.5296936525
319	0.5296046387
320	0.52956972
321	0.5295124842
322	0.5294138779
323	0.5293484214
324	0.5293080828
325	0.5292396898
326	0.5292198932
327	0.5291458793
328	0.52907399
329	0.528996002
330	0.5289354718
331	0.5288694729
332	0.5288258315
333	0.5287642954
334	0.5287329628
335	0.5287114262
336	0.5286569541
337	0.528557081
338	0.528483722
339	0.5284435468
340	0.5284247448
341	0.5283990726
342	0.5283449288
343	0.5282970692
344	0.5282572377
345	0.5282041786
346	0.5281572654
347	0.5280650492
348	0.5280209242
349	0.5279441017
350	0.5278955758
351	0.5278194126
352	0.5277908128
353	0.5276944752
354	0.5276265377
355	0.5275919523
356	0.5275665578
357	0.5275519642
358	0.5275146309
359	0.5274691747
360	0.5274174332
361	0.5273723624
362	0.5273101246
363	0.5272525824
364	0.5271519947
365	0.5270991085
