iter	Passed	Remaining
0	6	6537
1	13	6725
2	24	8071
3	30	7592
4	36	7355
5	43	7274
6	52	7426
7	58	7263
8	65	7263
9	72	7174
10	79	7162
11	86	7140
12	92	7039
13	98	6962
14	105	6900
15	111	6865
16	117	6783
17	123	6756
18	129	6707
19	136	6681
20	142	6664
21	149	6648
22	155	6620
23	162	6596
24	168	6554
25	174	6525
26	180	6502
27	187	6521
28	194	6522
29	201	6501
30	207	6491
31	214	6488
32	220	6475
33	226	6439
34	232	6401
35	238	6381
36	244	6352
37	249	6306
38	255	6292
39	261	6284
40	268	6273
41	274	6249
42	280	6232
43	286	6232
44	293	6225
45	299	6215
46	305	6200
47	311	6179
48	317	6163
49	323	6148
50	329	6139
51	336	6139
52	343	6132
53	349	6125
54	355	6108
55	361	6092
56	366	6069
57	372	6051
58	378	6035
59	384	6023
60	390	6013
61	396	6001
62	402	5984
63	408	5970
64	414	5956
65	420	5947
66	426	5938
67	432	5928
68	439	5930
69	445	5916
70	450	5900
71	457	5890
72	463	5884
73	469	5872
74	475	5862
75	480	5847
76	487	5842
77	494	5841
78	501	5846
79	508	5846
80	515	5846
81	522	5849
82	529	5845
83	536	5845
84	542	5844
85	549	5838
86	556	5835
87	563	5836
88	570	5843
89	578	5846
90	585	5844
91	592	5845
92	599	5842
93	606	5847
94	613	5847
95	619	5837
96	627	5840
97	633	5832
98	640	5832
99	648	5832
100	654	5825
101	661	5822
102	669	5827
103	676	5827
104	682	5819
105	689	5813
106	697	5821
107	704	5817
108	711	5813
109	717	5808
110	725	5806
111	731	5802
112	739	5801
113	745	5795
114	752	5787
115	758	5782
116	765	5780
117	772	5777
118	779	5774
119	786	5768
120	793	5763
121	800	5759
122	806	5751
123	813	5746
124	820	5743
125	827	5740
126	834	5738
127	841	5729
128	847	5723
129	854	5717
130	861	5712
131	867	5706
132	874	5702
133	881	5697
134	889	5697
135	896	5697
136	903	5691
137	910	5685
138	916	5674
139	922	5667
140	929	5664
141	936	5657
142	944	5660
143	951	5658
144	958	5654
145	965	5650
146	973	5648
147	980	5646
148	988	5644
149	995	5641
150	1002	5635
151	1009	5631
152	1016	5629
153	1023	5622
154	1031	5622
155	1038	5617
156	1045	5615
157	1052	5611
158	1060	5610
159	1067	5604
160	1074	5598
161	1081	5592
162	1088	5589
163	1095	5582
164	1101	5575
165	1109	5571
166	1115	5565
167	1122	5560
168	1130	5557
169	1136	5551
170	1144	5547
171	1151	5542
172	1158	5537
173	1164	5527
174	1170	5518
175	1176	5509
176	1182	5500
177	1189	5493
178	1195	5483
179	1202	5475
180	1208	5466
181	1214	5456
182	1220	5449
183	1226	5440
184	1233	5433
185	1239	5425
186	1245	5415
187	1251	5405
188	1257	5395
189	1263	5385
190	1267	5370
191	1274	5363
192	1280	5353
193	1285	5342
194	1291	5332
195	1297	5323
196	1303	5313
197	1309	5304
198	1315	5293
199	1321	5285
200	1327	5276
201	1333	5269
202	1340	5261
203	1346	5252
204	1352	5243
205	1358	5235
206	1362	5221
207	1368	5212
208	1374	5203
209	1381	5195
210	1387	5187
211	1393	5177
212	1399	5169
213	1404	5160
214	1411	5153
215	1416	5143
216	1423	5136
217	1429	5128
218	1435	5120
219	1442	5112
220	1448	5104
221	1454	5096
222	1460	5088
223	1466	5081
224	1470	5064
225	1477	5059
226	1484	5054
227	1491	5050
228	1497	5043
229	1505	5039
230	1513	5038
231	1520	5033
232	1528	5032
233	1535	5027
234	1543	5023
235	1550	5019
236	1557	5013
237	1564	5008
238	1571	5003
239	1578	4998
240	1585	4992
241	1592	4987
242	1599	4983
243	1606	4977
244	1613	4971
245	1621	4969
246	1628	4964
247	1635	4959
248	1641	4951
249	1648	4944
250	1653	4935
251	1660	4928
252	1666	4921
253	1672	4912
254	1679	4905
255	1685	4897
256	1691	4891
257	1698	4883
258	1704	4875
259	1710	4868
260	1716	4861
261	1722	4853
262	1729	4845
263	1735	4839
264	1742	4833
265	1748	4826
266	1755	4819
267	1761	4812
268	1768	4806
269	1774	4798
270	1780	4790
271	1786	4780
272	1791	4771
273	1797	4762
274	1803	4754
275	1809	4745
276	1815	4737
277	1821	4729
278	1827	4721
279	1832	4713
280	1838	4704
281	1844	4697
282	1850	4688
283	1857	4682
284	1862	4673
285	1868	4665
286	1874	4658
287	1881	4650
288	1886	4642
289	1892	4634
290	1899	4626
291	1904	4617
292	1911	4611
293	1917	4604
294	1924	4598
295	1930	4592
296	1936	4584
297	1942	4576
298	1947	4566
299	1953	4558
300	1959	4550
301	1965	4542
302	1971	4535
303	1977	4527
304	1982	4518
305	1988	4510
306	1995	4503
307	2001	4497
308	2008	4490
309	2014	4483
310	2020	4477
311	2027	4470
312	2033	4462
313	2039	4455
314	2045	4447
315	2051	4440
316	2057	4432
317	2063	4425
318	2069	4417
319	2075	4410
320	2081	4403
321	2087	4396
322	2093	4388
323	2099	4380
324	2105	4373
325	2111	4365
326	2118	4359
327	2124	4352
328	2130	4345
329	2136	4337
330	2142	4330
331	2148	4322
332	2154	4315
333	2160	4307
334	2166	4299
335	2172	4292
336	2178	4285
337	2184	4277
338	2190	4271
339	2196	4264
340	2202	4257
341	2208	4249
342	2215	4242
343	2220	4234
344	2226	4227
345	2232	4219
346	2238	4212
347	2244	4205
348	2250	4198
349	2256	4191
350	2263	4185
351	2269	4177
352	2275	4171
353	2281	4163
354	2287	4156
355	2294	4149
356	2300	4143
357	2307	4137
358	2313	4130
359	2319	4124
360	2326	4117
361	2332	4110
362	2338	4103
363	2344	4096
364	2350	4088
365	2355	4080
366	2361	4073
367	2367	4066
368	2373	4059
369	2379	4052
370	2385	4045
371	2391	4037
372	2397	4030
373	2403	4022
374	2409	4016
375	2415	4009
376	2422	4003
377	2428	3996
378	2435	3989
379	2440	3981
380	2446	3975
381	2453	3968
382	2458	3961
383	2464	3953
384	2470	3946
385	2476	3938
386	2482	3931
387	2488	3924
388	2494	3917
389	2499	3909
390	2504	3901
391	2511	3895
392	2517	3888
393	2523	3881
394	2529	3874
395	2535	3867
396	2541	3860
397	2547	3853
398	2554	3847
399	2559	3839
400	2565	3831
401	2571	3824
402	2577	3817
403	2583	3810
404	2588	3803
405	2595	3797
406	2600	3789
407	2607	3782
408	2613	3776
409	2619	3769
410	2625	3763
411	2632	3756
412	2638	3749
413	2644	3742
414	2650	3736
415	2656	3729
416	2662	3722
417	2669	3716
418	2675	3709
419	2680	3701
420	2686	3694
421	2692	3687
422	2698	3681
423	2705	3675
424	2712	3669
425	2719	3664
426	2725	3657
427	2732	3651
428	2738	3644
429	2744	3638
430	2751	3632
431	2757	3626
432	2764	3619
433	2770	3613
434	2776	3606
435	2782	3599
436	2788	3592
437	2793	3584
438	2799	3577
439	2806	3571
440	2812	3564
441	2818	3558
442	2824	3551
443	2830	3544
444	2836	3537
445	2842	3531
446	2848	3524
447	2854	3517
448	2860	3510
449	2867	3504
450	2873	3497
451	2879	3491
452	2885	3484
453	2892	3478
454	2897	3470
455	2903	3463
456	2972	3532
457	3046	3605
458	3123	3681
459	3208	3766
460	3286	3842
461	3366	3920
462	3444	3995
463	3523	4070
464	3611	4154
465	3687	4225
466	3765	4298
467	3836	4361
468	3913	4430
469	3989	4499
470	4002	4495
471	4010	4486
472	4019	4478
473	4027	4469
474	4034	4459
475	4041	4448
476	4047	4438
477	4054	4427
478	4060	4416
479	4067	4406
480	4074	4396
481	4081	4385
482	4088	4375
483	4094	4364
484	4100	4354
485	4107	4343
486	4113	4332
487	4119	4322
488	4125	4311
489	4132	4300
490	4138	4290
491	4144	4279
492	4151	4269
493	4157	4259
494	4164	4248
495	4170	4238
496	4177	4227
497	4183	4217
498	4190	4207
499	4197	4197
500	4203	4186
501	4210	4176
502	4216	4166
503	4223	4156
504	4230	4146
505	4237	4136
506	4244	4126
507	4250	4117
508	4258	4107
509	4265	4098
510	4272	4088
511	4279	4078
512	4285	4068
513	4292	4058
514	4298	4048
515	4305	4038
516	4311	4028
517	4318	4018
518	4324	4008
519	4331	3998
520	4337	3987
521	4343	3977
522	4350	3967
523	4356	3957
524	4362	3947
525	4369	3937
526	4375	3927
527	4382	3917
528	4389	3907
529	4395	3898
530	4402	3888
531	4408	3878
532	4415	3868
533	4421	3858
534	4427	3848
535	4434	3838
536	4441	3829
537	4448	3819
538	4454	3809
539	4460	3799
540	4467	3790
541	4473	3780
542	4480	3770
543	4487	3761
544	4493	3751
545	4500	3741
546	4506	3732
547	4513	3722
548	4519	3713
549	4526	3703
550	4533	3694
551	4539	3684
552	4546	3674
553	4552	3665
554	4559	3655
555	4565	3645
556	4572	3636
557	4578	3626
558	4585	3617
559	4592	3608
560	4598	3598
561	4605	3589
562	4612	3579
563	4619	3570
564	4625	3561
565	4632	3552
566	4639	3542
567	4646	3533
568	4652	3524
569	4659	3514
570	4665	3505
571	4672	3496
572	4679	3487
573	4686	3477
574	4692	3468
575	4698	3458
576	4705	3449
577	4714	3441
578	4720	3432
579	4726	3422
580	4733	3413
581	4739	3404
582	4746	3394
583	4752	3385
584	4758	3375
585	4764	3366
586	4771	3356
587	4777	3347
588	4784	3338
589	4791	3329
590	4798	3320
591	4805	3311
592	4811	3302
593	4817	3292
594	4823	3283
595	4830	3274
596	4836	3264
597	4842	3255
598	4849	3246
599	4855	3237
600	4862	3228
601	4868	3218
602	4875	3209
603	4881	3200
604	4888	3191
605	4894	3182
606	4901	3173
607	4907	3163
608	4913	3154
609	4919	3145
610	4925	3135
611	4932	3126
612	4938	3117
613	4945	3108
614	4951	3099
615	4958	3090
616	4965	3082
617	4971	3073
618	4978	3064
619	4984	3055
620	4991	3046
621	4998	3037
622	5004	3028
623	5010	3019
624	5017	3010
625	5023	3001
626	5030	2992
627	5036	2983
628	5043	2974
629	5049	2965
630	5055	2956
631	5061	2947
632	5068	2938
633	5074	2929
634	5080	2920
635	5087	2911
636	5094	2902
637	5100	2894
638	5106	2885
639	5112	2875
640	5118	2866
641	5123	2857
642	5129	2847
643	5135	2838
644	5141	2829
645	5147	2820
646	5152	2811
647	5158	2802
648	5164	2792
649	5170	2783
650	5176	2774
651	5182	2765
652	5188	2756
653	5194	2748
654	5200	2739
655	5207	2730
656	5213	2721
657	5220	2713
658	5226	2704
659	5232	2695
660	5239	2686
661	5245	2678
662	5251	2669
663	5257	2660
664	5263	2651
665	5269	2642
666	5275	2633
667	5281	2624
668	5287	2616
669	5293	2607
670	5299	2598
671	5305	2589
672	5311	2580
673	5317	2571
674	5323	2563
675	5329	2554
676	5336	2545
677	5341	2537
678	5347	2528
679	5354	2519
680	5359	2510
681	5366	2502
682	5372	2493
