,Tanggal,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Bawang Merah,Bawang Merah Ukuran Sedang,Cabai Merah,Cabai Merah Besar,Cabai Merah Keriting,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Minyak Goreng,Minyak Goreng Curah,Gula Pasir,Gula Pasir Lokal
0,02-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
1,03-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
2,04-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
3,05-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
4,06-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
5,09-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
6,10-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
7,11-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
8,12-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
9,13-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
10,16-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
11,17-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
12,18-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
13,19-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
14,20-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
15,23-12-2019,9300.0,9500.0,9100.0,9250.0,9350.0,10700.0,10300.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
16,24-12-2019,9250.0,9550.0,9050.0,9250.0,9350.0,10700.0,10200.0,17650.0,17650.0,15000.0,14150.0,15900.0,15550.0,13550.0,17550.0,8500.0,8500.0,11100.0,11100.0
17,25-12-2019,9300.0,9550.0,9050.0,9300.0,9400.0,10850.0,10150.0,20200.0,20200.0,17150.0,15600.0,18650.0,18000.0,14700.0,21250.0,9000.0,9000.0,11100.0,11100.0
18,26-12-2019,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
19,27-12-2019,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
20,30-12-2019,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
21,31-12-2019,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
22,01-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
23,02-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
24,03-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
25,06-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
26,07-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
27,08-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
28,09-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
29,10-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
30,13-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
31,14-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
32,15-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
33,16-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
34,17-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
35,20-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
36,21-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
37,22-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
38,23-01-2020,9350.0,9650.0,9150.0,9350.0,9550.0,11000.0,10250.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
39,24-01-2020,9400.0,9800.0,9250.0,9350.0,9550.0,11000.0,10350.0,24400.0,24400.0,20500.0,18850.0,22200.0,20250.0,16150.0,24400.0,9000.0,9000.0,11150.0,11150.0
40,27-01-2020,9550.0,9900.0,9350.0,9500.0,9800.0,11200.0,10500.0,16150.0,16150.0,39150.0,36300.0,42000.0,37400.0,27350.0,47450.0,9000.0,9000.0,11850.0,11850.0
41,28-01-2020,9550.0,9900.0,9350.0,9500.0,9800.0,11200.0,10500.0,16150.0,16150.0,39150.0,36300.0,42000.0,37400.0,27350.0,47450.0,9000.0,9000.0,11850.0,11850.0
42,29-01-2020,9550.0,9900.0,9350.0,9500.0,9800.0,11200.0,10500.0,16150.0,16150.0,39150.0,36300.0,42000.0,37400.0,27350.0,47450.0,9000.0,9000.0,11850.0,11850.0
43,30-01-2020,9550.0,9900.0,9350.0,9500.0,9800.0,11200.0,10500.0,16150.0,16150.0,39150.0,36300.0,42000.0,37400.0,27350.0,47450.0,9000.0,9000.0,11850.0,11850.0
44,31-01-2020,9550.0,9900.0,9350.0,9500.0,9800.0,11200.0,10500.0,16150.0,16150.0,39150.0,36300.0,42000.0,37400.0,27350.0,47450.0,9000.0,9000.0,11850.0,11850.0
