,Tanggal,Bawang Merah,Bawang Merah Ukuran Sedang,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Cabai Merah,Cabai Merah Besar,Cabai Merah Keriting ,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Minyak Goreng,Gula Pasir
0,02-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,27310.6060606061,25000.0,34565.2173913044,34565.2173913044,,11000.0,12100.0
1,03-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,27272.7272727273,25000.0,33478.2608695652,33478.2608695652,,11000.0,12100.0
2,04-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,27234.8484848485,25000.0,32391.3043478261,32391.3043478261,,11000.0,12100.0
3,05-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,27196.9696969697,25000.0,31304.347826087,31304.347826087,,11000.0,12100.0
4,06-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,27159.0909090909,25000.0,30217.3913043478,30217.3913043478,,11000.0,12100.0
5,09-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,27121.2121212121,25000.0,29130.4347826087,29130.4347826087,,11000.0,12100.0
6,10-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,27083.3333333333,25000.0,28043.4782608696,28043.4782608696,,11000.0,12100.0
7,11-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,27045.4545454545,25000.0,26956.5217391304,26956.5217391304,,11000.0,12100.0
8,12-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,27007.5757575758,25000.0,25869.5652173913,25869.5652173913,,11000.0,12100.0
9,13-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,26969.696969697,25000.0,24782.6086956522,24782.6086956522,,11000.0,12100.0
10,16-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,26931.8181818182,25000.0,23695.652173913,23695.652173913,,11000.0,12100.0
11,17-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,26893.9393939394,25000.0,22608.6956521739,22608.6956521739,,11000.0,12100.0
12,18-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,26856.0606060606,25000.0,21521.7391304348,21521.7391304348,,11000.0,12100.0
13,19-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,26818.1818181818,25000.0,20434.7826086957,20434.7826086957,,11000.0,12100.0
14,20-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,26780.303030303,25000.0,19347.8260869565,19347.8260869565,,11000.0,12100.0
15,23-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,26742.4242424242,25000.0,18260.8695652174,18260.8695652174,,11000.0,12100.0
16,24-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,26704.5454545455,25000.0,17173.9130434783,17173.9130434783,,11000.0,12100.0
17,25-12-2019,23500,23500,9050.0,8500,8500.0,8900,8250,9700,9250,25000.0,26666.6666666667,25000.0,16086.9565217391,16086.9565217391,,11000.0,12100.0
18,26-12-2019,23500,23500,9050.0,8500,8700.0,8900,8250,9750,9250,16000.0,26628.7878787879,16000.0,15000.0,15000.0,,11950.0,12300.0
19,27-12-2019,22000,22000,9050.0,8500,8700.0,8900,8250,9650,9250,16000.0,26590.9090909091,16000.0,15000.0,15000.0,,11950.0,12300.0
20,30-12-2019,22000,22000,9050.0,8500,8700.0,8900,8250,9650,9250,16000.0,26553.0303030303,16000.0,15000.0,15000.0,,11950.0,12300.0
21,31-12-2019,22000,22000,9050.0,8500,8700.0,8900,8250,9650,9250,16000.0,26515.1515151515,16000.0,15000.0,15000.0,,11950.0,12300.0
22,01-01-2020,22000,22000,9050.0,8500,8700.0,8900,8250,9650,9250,16000.0,26477.2727272727,16000.0,15000.0,15000.0,,11950.0,12300.0
23,02-01-2020,22000,22000,9050.0,8500,8700.0,8900,8250,9650,9250,16000.0,26439.3939393939,16000.0,15000.0,15000.0,,11950.0,12300.0
24,03-01-2020,22000,22000,9050.0,8500,8700.0,8900,8250,9650,9250,16000.0,26401.5151515152,16000.0,15000.0,15000.0,,11950.0,12300.0
25,06-01-2020,22000,22000,9050.0,8500,8700.0,8900,8250,9650,9250,16000.0,26363.6363636364,16000.0,15000.0,15000.0,,11950.0,12300.0
26,07-01-2020,22000,22000,9050.0,8500,8700.0,8900,8250,9650,9250,16000.0,26325.7575757576,16000.0,15000.0,15000.0,,11950.0,12300.0
