,Tanggal,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Bawang Merah,Bawang Merah Ukuran Sedang,Cabai Merah,Cabai Merah Besar,Cabai Merah Keriting,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Minyak Goreng,Minyak Goreng Curah,Minyak Goreng Kemasan Bermerk 1,Minyak Goreng Kemasan Bermerk 2,Gula Pasir,Gula Pasir Kualitas Premium,Gula Pasir Lokal
0,02-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
1,03-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
2,04-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
3,05-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
4,06-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
5,09-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
6,10-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
7,11-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
8,12-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
9,13-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
10,16-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
11,17-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
12,18-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
13,19-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
14,20-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
15,23-12-2019,9400,8850,8300,9550,9200,10300,10150,16650,16650,19400,17650,21150,21450,14200,26900,12200,,,,10250,10500,10000
16,24-12-2019,9400,8850,8300,9550,9200,10300,10150,18150,18150,21650,21150,22150,21550,13650,27550,12200,,,,10250,10500,10000
