,Tanggal,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Bawang Merah,Bawang Merah Ukuran Sedang,Cabai Merah,Cabai Merah Besar,Cabai Merah Keriting ,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Minyak Goreng,Minyak Goreng Curah,Minyak Goreng Kemasan Bermerk 1,Minyak Goreng Kemasan Bermerk 2,Gula Pasir,Gula Pasir Kualitas Premium,Gula Pasir Lokal
0,02-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
1,03-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
2,04-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
3,05-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
4,06-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
5,09-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
6,10-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
7,11-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
8,12-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
9,13-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
10,16-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
11,17-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
12,18-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
13,19-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
14,20-12-2019,8700,7700,8200,8500,8900,9700,9300.0,16400,16400,14700,14400,12950,20650,10550,22650,13300,10300.0,17550,15350,11000,11350,10850
